type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/attribute_id,properties/label_type,properties/neighborhood,properties/severity,properties/is_temporary
Feature,Point,-122.29898071289062,47.5946159362793,52096165,SurfaceProblem,Atlantic,4,false
Feature,Point,-122.30107116699219,47.59335708618164,52096166,SurfaceProblem,Atlantic,3,false
Feature,Point,-122.30107879638672,47.59684371948242,52096167,SurfaceProblem,Atlantic,4,false
Feature,Point,-122.30107116699219,47.596500396728516,52096168,SurfaceProblem,Atlantic,4,false
Feature,Point,-122.3062744140625,47.59992980957031,52096365,NoCurbRamp,Atlantic,4,false
Feature,Point,-122.31037139892578,47.600765228271484,52096374,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30020141601562,47.59548568725586,52096414,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30006408691406,47.60032272338867,52096415,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30097961425781,47.600833892822266,52096416,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29885864257812,47.60159683227539,52096417,NoCurbRamp,Atlantic,,false
Feature,Point,-122.29887390136719,47.60081481933594,52096418,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29902648925781,47.60081100463867,52096419,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30023956298828,47.59464645385742,52096438,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30130004882812,47.594635009765625,52096439,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30110168457031,47.594627380371094,52096440,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29889678955078,47.58555603027344,52096454,NoCurbRamp,Atlantic,4,false
Feature,Point,-122.30648040771484,47.60009002685547,52096473,NoCurbRamp,Atlantic,,false
Feature,Point,-122.30653381347656,47.59827423095703,52096474,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30648803710938,47.59885787963867,52096475,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30628204345703,47.60008239746094,52096476,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30628204345703,47.59759521484375,52096477,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30481719970703,47.59754943847656,52096478,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30320739746094,47.60025405883789,52096479,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30463409423828,47.59919357299805,52096480,NoCurbRamp,Atlantic,4,false
Feature,Point,-122.30339813232422,47.60025405883789,52096481,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30645751953125,47.59754180908203,52096482,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30490112304688,47.596553802490234,52096483,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30337524414062,47.60040283203125,52096484,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.31597900390625,47.599971771240234,52096485,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.3129653930664,47.60091781616211,52096486,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.31022644042969,47.600929260253906,52096487,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.31149291992188,47.600914001464844,52096488,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30248260498047,47.58829116821289,52096489,NoCurbRamp,Atlantic,2,false
Feature,Point,-122.30247497558594,47.58845520019531,52096490,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29896545410156,47.59294891357422,52096491,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30107879638672,47.5930061340332,52096492,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30802917480469,47.59449005126953,52096493,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30911254882812,47.59451675415039,52096494,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30789947509766,47.59457015991211,52096495,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.3078384399414,47.59446716308594,52096496,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30768585205078,47.592681884765625,52096497,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30726623535156,47.59461975097656,52096498,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30718994140625,47.59455871582031,52096499,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30632019042969,47.59442138671875,52096500,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30638885498047,47.594547271728516,52096508,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30496978759766,47.595149993896484,52096509,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30607604980469,47.59587097167969,52096510,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30638122558594,47.59446716308594,52096511,NoCurbRamp,Atlantic,1,false
Feature,Point,-122.30606079101562,47.59596252441406,52096512,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30613708496094,47.594444274902344,52096522,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.3052749633789,47.588497161865234,52096523,NoCurbRamp,Atlantic,,false
Feature,Point,-122.30616760253906,47.593021392822266,52096524,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29911041259766,47.58639144897461,52096547,NoCurbRamp,Atlantic,5,false
Feature,Point,-122.29827117919922,47.58839416503906,52096548,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30020141601562,47.58686065673828,52096549,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.30009460449219,47.586944580078125,52096550,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.29915618896484,47.58634948730469,52096551,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.2982406616211,47.58826446533203,52096552,NoCurbRamp,Atlantic,3,false
Feature,Point,-122.37269592285156,47.675941467285156,52096583,CurbRamp,West Woodland,1,false
Feature,Point,-122.36864471435547,47.67522048950195,52096584,CurbRamp,West Woodland,1,false
Feature,Point,-122.37356567382812,47.67096710205078,52096597,CurbRamp,West Woodland,1,false
Feature,Point,-122.36610412597656,47.66154098510742,52096598,CurbRamp,West Woodland,2,false
Feature,Point,-122.36822509765625,47.67531204223633,52096607,CurbRamp,West Woodland,1,false
Feature,Point,-122.36957550048828,47.67593765258789,52096608,CurbRamp,West Woodland,1,false
Feature,Point,-122.37598419189453,47.66300964355469,52096609,CurbRamp,West Woodland,1,false
Feature,Point,-122.37606811523438,47.66291046142578,52096610,CurbRamp,West Woodland,3,false
Feature,Point,-122.37405395507812,47.6644401550293,52096611,CurbRamp,West Woodland,2,false
Feature,Point,-122.373779296875,47.66495895385742,52096612,CurbRamp,West Woodland,1,false
Feature,Point,-122.36871337890625,47.66210174560547,52096613,CurbRamp,West Woodland,1,false
Feature,Point,-122.3737564086914,47.662837982177734,52096614,CurbRamp,West Woodland,1,false
Feature,Point,-122.37380981445312,47.664363861083984,52096620,CurbRamp,West Woodland,3,false
Feature,Point,-122.37091827392578,47.662322998046875,52096628,CurbRamp,West Woodland,1,false
Feature,Point,-122.37069702148438,47.663543701171875,52096629,CurbRamp,West Woodland,1,false
Feature,Point,-122.36096954345703,47.66434097290039,52096636,CurbRamp,West Woodland,2,false
Feature,Point,-122.3619613647461,47.67231750488281,52096648,CurbRamp,West Woodland,1,false
Feature,Point,-122.37064361572266,47.662261962890625,52096659,CurbRamp,West Woodland,1,false
