properties/neighborhood,TotalImpact,MeanSeverity,MaxSeverity,BarrierCount,TempRatio,AccessibilityScore,Rank
Ravenna,44814.0,3.410639909125331,5.0,5282,0.003975766755017039,84.84,1
Whittier Heights,22485.0,3.4202682563338302,5.0,2684,0.004098360655737705,83.77,2
View Ridge,13817.0,3.396703943496174,5.0,1699,0.0017657445556209534,81.32,3
Industrial District,89705.0,3.2808988764044944,5.0,11481,0.004877623900357112,78.13,4
Sand Point,1461.0,3.2872340425531914,5.0,188,0.0,77.71,5
Interbay,4933.0,3.32967032967033,5.0,637,0.004709576138147566,77.44,6
Wallingford,26253.0,3.2478386167146973,5.0,3470,0.005187319884726225,75.66,7
Sunset Hill,10460.5,2.828551912568306,5.0,1464,0.001366120218579235,71.45,8
Windermere,4819.0,2.992816091954023,5.0,696,0.011494252873563218,69.24,9
Roosevelt,17907.0,3.074031890660592,5.0,2634,0.00721336370539104,67.98,10
Loyal Heights,14188.5,2.981516587677725,5.0,2110,0.006635071090047393,67.24,11
Harrison/Denny-Blaine,5560.5,2.7776548672566372,5.0,904,0.0011061946902654867,61.51,12
Phinney Ridge,10865.5,2.8439955106621775,5.0,1782,0.001122334455667789,60.97,13
Lawton Park,8036.0,2.7609351432880844,5.0,1326,0.008295625942684766,60.6,14
Harbor Island,1021.0,2.976470588235294,5.0,170,0.0058823529411764705,60.06,15
Green Lake,15558.0,2.828679245283019,5.0,2650,0.009056603773584906,58.71,16
Mount Baker,28824.5,2.7680747359870024,5.0,4924,0.009138911454102356,58.54,17
Southeast Magnolia,8070.5,2.651985559566787,5.0,1385,0.006498194945848376,58.27,18
Bryant,6482.0,2.8008888888888888,5.0,1125,0.010666666666666666,57.62,19
North Beacon Hill,23233.5,2.652761032071377,5.0,4147,0.011092355919942128,56.02,20
Madrona,7768.0,2.7436079545454546,5.0,1408,0.0078125,55.17,21
Briarcliff,9412.5,2.250875145857643,5.0,1714,0.0,54.92,22
North Queen Anne,8764.0,2.7128589263420726,5.0,1602,0.013108614232209739,54.71,23
Leschi,8831.0,2.775314559616537,5.0,1669,0.008987417615338526,52.91,24
Madison Park,3442.0,2.7459618208516887,5.0,681,0.0014684287812041115,50.54,25
East Queen Anne,6008.5,2.6040100250626566,5.0,1197,0.002506265664160401,50.2,26
Montlake,4068.0,2.727272727272727,5.0,880,0.0011363636363636363,46.23,27
Fremont,9761.5,2.571964369432724,5.0,2133,0.027660571964369433,45.76,28
Portage Bay,1366.5,2.332317073170732,5.0,328,0.0,41.66,29
West Queen Anne,4460.5,2.4429097605893184,5.0,1086,0.034990791896869246,41.07,30
Eastlake,1577.0,2.509043927648579,5.0,387,0.0103359173126615,40.75,31
West Woodland,4766.5,2.275294117647059,5.0,1275,0.018823529411764704,37.38,32
Laurelhurst,3658.0,2.282717282717283,5.0,1001,0.005994005994005994,36.54,33
Broadway,6613.0,2.474232456140351,5.0,1824,0.003837719298245614,36.26,34
Adams,3753.0,2.580520732883317,5.0,1037,0.007714561234329798,36.19,35
Stevens,5817.5,2.3763505402160865,5.0,1666,0.003601440576230492,34.92,36
Mann,2263.0,2.0896860986547083,5.0,669,0.0014947683109118087,33.83,37
Yesler Terrace,1501.5,2.849889624724062,5.0,453,0.024282560706401765,33.15,38
University District,6201.5,2.286977886977887,5.0,2035,0.03292383292383293,30.47,39
Minor,4108.0,2.34,5.0,1400,0.010714285714285714,29.34,40
Lower Queen Anne,2612.0,2.109936575052854,5.0,946,0.021141649048625793,27.61,41
Atlantic,3031.5,2.3742489270386264,5.0,1165,0.002575107296137339,26.02,42
International District,1016.0,2.099557522123894,5.0,452,0.00663716814159292,22.48,43
Pike-Market,289.5,1.9428571428571428,5.0,140,0.05,20.68,44
Westlake,251.0,2.0866141732283463,5.0,127,0.015748031496062992,19.76,45
South Lake Union,1400.5,1.8875661375661377,5.0,756,0.07671957671957672,18.53,46
Pioneer Square,801.5,1.7680890538033396,5.0,539,0.02411873840445269,14.87,47
Central Business District,852.5,1.6270783847980999,5.0,842,0.02494061757719715,10.12,48
Belltown,973.5,1.7844423617619494,5.0,1067,0.03280224929709466,9.12,49
First Hill,574.0,2.4551630434782608,5.0,736,0.006793478260869565,7.8,50
