neighborhood,barrier_count,avg_severity,area_km2,min_lon,max_lon,min_lat,max_lat,center_lon,center_lat,barriers_per_km2,severity_weighted_density,population,median_income,pct_minority,pct_elderly,barriers_per_1000_pop,equity_concern_score
Madrona,1408,2.736688548504741,1.0569493212096859,-122.29615020751953,-122.28108978271484,47.606842041015625,47.6188850402832,-122.28861999511719,47.612863540649414,1332.1357720240874,3645.6407123518425,7800.0,142000.0,32.5,11.8,180.51282051282053,2570.9258823187192
Portage Bay,328,2.309148264984227,0.2861794086493319,-122.32234191894531,-122.3166732788086,47.64286422729492,47.651527404785156,-122.31950759887695,47.64719581604004,1146.134173482456,2646.593738136144,,,,,0.0,2197.2520424275062
Leschi,1669,2.771201952410006,1.5037099714390934,-122.2977523803711,-122.28340911865234,47.591163635253906,47.609153747558594,-122.29058074951172,47.60015869140625,1109.9214820014256,3075.816577944158,6200.0,125000.0,28.3,13.2,269.19354838709677,2385.7616633922203
Minor,1400,2.328,1.4342332954402082,-122.31675720214844,-122.30250549316406,47.60171890258789,47.618988037109375,-122.30963134765625,47.61035346984863,976.131292203964,2272.433648250828,,,,,0.0,1871.3397829816925
Yesler Terrace,453,2.8468468468468466,0.4830878251232206,-122.32703399658203,-122.31684112548828,47.59921646118164,47.60734939575195,-122.32193756103516,47.6032829284668,937.7176911557517,2669.5386522992567,,,,,0.0,1797.6971281224255
First Hill,736,2.43441466854725,0.7963841409946326,-122.33116912841797,-122.31681060791016,47.604515075683594,47.61403274536133,-122.32398986816406,47.60927391052246,924.1771176919511,2249.830331645004,18000.0,48000.0,42.5,18.5,40.88888888888889,6014.76850608491
Wallingford,3470,3.2524955960070465,3.7870955168909854,-122.34732818603516,-122.32256317138672,47.646724700927734,47.67296600341797,-122.33494567871094,47.65984535217285,916.2694694452003,2980.1624141262273,18000.0,105000.0,16.2,10.5,192.77777777777777,2072.8794749574417
Fremont,2133,2.56,2.5223082502634497,-122.36612701416016,-122.34228515625,47.6484489440918,47.666603088378906,-122.35420608520508,47.65752601623535,845.6539757887296,2164.8741780191476,14000.0,98000.0,16.8,7.3,152.35714285714286,2000.6951183457547
Central Business District,842,1.603864734299517,1.029905512696132,-122.34131622314453,-122.32825469970703,47.602420806884766,47.61595153808594,-122.33478546142578,47.60918617248535,817.5507263727284,1311.240778530173,3500.0,95000.0,35.2,4.2,240.57142857142858,2242.8862185570674
Mann,669,2.077272727272727,0.8286734178545885,-122.30279541015625,-122.29617309570312,47.601722717285156,47.62319564819336,-122.29948425292969,47.61245918273926,807.314420356359,1677.0122277402547,,,,,0.0,1547.7012203722945
Belltown,1067,1.722167487684729,1.3448169538605725,-122.35851287841797,-122.32933044433594,47.610679626464844,47.618587493896484,-122.34392166137695,47.614633560180664,793.4165292435955,1366.3961508549803,12000.0,82000.0,22.3,5.4,88.91666666666667,2307.417530396417
West Woodland,1275,2.2554391619661565,1.65467322076438,-122.37630462646484,-122.3608169555664,47.657623291015625,47.67595672607422,-122.36856079101562,47.66679000854492,770.5448930943663,1737.9171279380591,8500.0,95000.0,15.8,11.8,150.0,1942.6583650149855
International District,452,2.077097505668934,0.592250654954114,-122.32894134521484,-122.31163024902344,47.5958366394043,47.601707458496094,-122.32028579711914,47.598772048950195,763.1903759313187,1585.2208261974783,,,,,0.0,1463.1110833916473
Loyal Heights,2110,2.98095703125,2.809229670165223,-122.39300537109375,-122.37654876708984,47.675968170166016,47.70526123046875,-122.3847770690918,47.69061470031738,751.0955841057672,2238.9836625809126,9500.0,115000.0,15.8,14.2,222.10526315789474,1597.8785249961863
Harrison/Denny-Blaine,904,2.7736486486486487,1.2625147617654875,-122.29634094238281,-122.28004455566406,47.61766052246094,47.63095474243164,-122.28819274902344,47.62430763244629,716.0312317741583,1986.0190584006214,,,,,0.0,1372.702361432324
Southeast Magnolia,1385,2.642962962962963,1.9382724654860792,-122.40093231201172,-122.38214111328125,47.63090515136719,47.64860534667969,-122.39153671264648,47.63975524902344,714.5538228820013,1888.5392889207267,,,,,0.0,1369.8700231416606
East Queen Anne,1197,2.599323753169907,1.7172036538249813,-122.35691833496094,-122.34065246582031,47.628082275390625,47.64619827270508,-122.34878540039062,47.63714027404785,697.0635063195592,1811.8937294443317,,,,,0.0,1336.3393644468233
Broadway,1824,2.455732122587968,2.684617063641781,-122.32989501953125,-122.31256866455078,47.6129150390625,47.639503479003906,-122.32123184204102,47.6262092590332,679.4265091668893,1668.4895034989386,,,,,0.0,1302.5275046204613
Pioneer Square,539,1.7542213883677298,0.7971368372091092,-122.33717346191406,-122.32621765136719,47.592411041259766,47.604896545410156,-122.33169555664062,47.59865379333496,676.169980912081,1186.151842688172,,,,,0.0,1296.2844193651292
North Queen Anne,1602,2.699149771092217,2.5708044096973026,-122.37627410888672,-122.349609375,47.63960647583008,47.656150817871094,-122.36294174194336,47.647878646850586,623.1512572318273,1681.9785733131143,15000.0,105000.0,18.5,10.8,106.80000000000001,1441.5642902690026
West Queen Anne,1086,2.421606118546845,1.8002699055068658,-122.37615203857422,-122.35702514648438,47.62669372558594,47.642845153808594,-122.3665885925293,47.634769439697266,603.2428785694981,1460.8166457137079,,,,,0.0,1156.475984822354
Adams,1037,2.566733067729084,1.7839286976959554,-122.3984375,-122.37628173828125,47.66214370727539,47.675960540771484,-122.38735961914062,47.66905212402344,581.3012601564984,1492.0451667562716,,,,,0.0,1114.4117422689346
Ravenna,5282,3.417516843118383,9.197006277026958,-122.31192779541016,-122.29020690917969,47.66129684448242,47.73395538330078,-122.30106735229492,47.6976261138916,574.3173203212676,1962.7391154925479,14000.0,115000.0,18.2,14.8,377.2857142857143,1253.6755805476525
Stevens,1666,2.365302382406842,3.02235785900848,-122.31453704833984,-122.29253387451172,47.61461639404297,47.638187408447266,-122.30353546142578,47.62640190124512,551.2252611100629,1303.8144233464652,5200.0,165000.0,15.2,14.5,320.38461538461536,815.2200676163891
Westlake,127,2.041322314049587,0.2374639530899003,-122.34347534179688,-122.33971405029297,47.62714767456055,47.63798141479492,-122.34159469604492,47.632564544677734,534.8180148922212,1091.7359477551954,4200.0,78000.0,32.5,8.5,30.238095238095237,1823.596583358903
Pike-Market,140,1.9197080291970803,0.2635756258678157,-122.34638977050781,-122.33819580078125,47.60689926147461,47.61241912841797,-122.34229278564453,47.60965919494629,531.1568531386533,1019.6660757333271,,,,,0.0,1018.279977519698
Briarcliff,1714,2.2397868561278864,3.3043747117335442,-122.41842651367188,-122.39372253417969,47.631099700927734,47.654052734375,-122.40607452392578,47.64257621765137,518.7063058901089,1161.7915661233167,4200.0,88000.0,15.2,11.5,408.09523809523813,1400.6767843306757
Sunset Hill,1464,2.8255733148019457,2.8589737653237535,-122.40653991699219,-122.39167022705078,47.6675910949707,47.700584411621094,-122.39910507202148,47.6840877532959,512.0718552078825,1446.896569336519,6800.0,135000.0,12.8,15.2,215.29411764705884,911.864787155464
Lower Queen Anne,946,2.0867678958785247,1.930749573803041,-122.36802673339844,-122.34371185302734,47.6186637878418,47.63228988647461,-122.35586929321289,47.6254768371582,489.96514764814503,1022.4435402115303,,,,,0.0,939.3114229524024
Eastlake,387,2.4850948509485096,0.8088658726774156,-122.32936096191406,-122.32129669189453,47.6348876953125,47.652099609375,-122.3253288269043,47.64349365234375,478.4476797358216,1188.9878653597518,,,,,0.0,917.231303120487
Bryant,1125,2.7944954128440367,2.4237004668975715,-122.29259490966797,-122.27954864501953,47.661197662353516,47.693077087402344,-122.28607177734375,47.67713737487793,464.1662678062041,1297.110506181374,,,,,0.0,889.8524305093031
Laurelhurst,1001,2.272543059777102,2.364935889345361,-122.28999328613281,-122.2689437866211,47.649017333984375,47.668296813964844,-122.27946853637695,47.65865707397461,423.2672879251231,961.8931376049151,8500.0,185000.0,12.4,15.8,117.76470588235294,550.9213158250369
Montlake,880,2.7196261682242993,2.111503175692633,-122.32234191894531,-122.29682922363281,47.632266998291016,47.64646911621094,-122.30958557128906,47.63936805725098,416.76470588841767,1133.4442001264445,,,,,0.0,798.9789698378992
Phinney Ridge,1782,2.8423142370958594,4.399832636117935,-122.36602783203125,-122.34014892578125,47.66225814819336,47.69143295288086,-122.35308837890625,47.67684555053711,405.01540567058845,1151.1810537806684,12000.0,98000.0,14.8,12.2,148.5,984.8088451305159
Whittier Heights,2684,3.4302059496567505,6.90215390168305,-122.37687683105469,-122.35526275634766,47.67591857910156,47.730716705322266,-122.36606979370117,47.703317642211914,388.86411955339366,1333.8840165000847,,,,,0.0,745.4907991438116
Atlantic,1165,2.361646234676007,3.0406196463445667,-122.3171157836914,-122.2962875366211,47.57659912109375,47.60165023803711,-122.30670166015625,47.58912467956543,383.1455872491527,904.854333459689,8500.0,65000.0,45.2,12.1,137.05882352941177,1774.9839435713595
University District,2035,2.2682803832576903,5.364268842386082,-122.32245635986328,-122.28678131103516,47.64765930175781,47.6734619140625,-122.30461883544922,47.660560607910156,379.3620453770567,860.4994856812915,32000.0,42000.0,38.5,6.2,63.59375000000001,2457.8230133689053
Madison Park,681,2.7350689127105667,1.7953402371495029,-122.29686737060547,-122.27698516845703,47.626182556152344,47.64167785644531,-122.28692626953125,47.63393020629883,379.3152884944177,1037.453453676922,,,,,0.0,727.1847499633914
Roosevelt,2634,3.075260517174836,8.412938844412565,-122.32938385009766,-122.306640625,47.67105484008789,47.73453140258789,-122.31801223754883,47.70279312133789,313.08916523853793,962.8307482133038,8500.0,88000.0,22.5,11.2,309.8823529411765,896.5984234575935
South Lake Union,756,1.75037147102526,2.493174768460449,-122.35012817382812,-122.3239974975586,47.618473052978516,47.63484573364258,-122.33706283569336,47.62665939331055,303.2278400871331,530.7613605091275,8000.0,125000.0,28.5,4.8,94.5,604.3592841790397
North Beacon Hill,4147,2.6444444444444444,13.8293988078658,-122.32003021240234,-122.28730010986328,47.52330780029297,47.5958137512207,-122.30366516113281,47.559560775756836,299.8684221646204,792.9853830575518,,,,,0.0,574.8772860150754
Lawton Park,1326,2.752537080405933,4.736454393714666,-122.41534423828125,-122.38214111328125,47.6468620300293,47.67134094238281,-122.39874267578125,47.659101486206055,279.9562478126293,770.5899529955744,,,,,0.0,536.7036875164396
Windermere,696,2.9923195084485408,2.8920335466682445,-122.27950286865234,-122.25415802001953,47.65614318847656,47.675724029541016,-122.26683044433594,47.66593360900879,240.66110879032644,720.1349307581504,,,,,0.0,461.3710375773097
Harbor Island,170,2.9760479041916166,0.7528463127528084,-122.35604095458984,-122.34638977050781,47.57124710083008,47.584632873535156,-122.35121536254883,47.57793998718262,225.80969996172146,672.0204843172189,,,,,0.0,432.8994247970826
Green Lake,2650,2.824235385210995,12.95534194658103,-122.35523986816406,-122.3208999633789,47.66967010498047,47.73440933227539,-122.33806991577148,47.70203971862793,204.54882711137907,577.6940355313628,18000.0,92000.0,14.2,11.8,147.22222222222223,525.1565687703471
View Ridge,1699,3.41993769470405,9.101927414376405,-122.29361724853516,-122.26364135742188,47.67572784423828,47.72783279418945,-122.27862930297852,47.70178031921387,186.66376061365267,638.378431157844,7500.0,145000.0,14.5,16.8,226.53333333333333,318.5019287961434
Industrial District,11481,3.2905143680749482,63.823667597025626,-122.4179916381836,-122.30281829833984,47.50119400024414,47.59628677368164,-122.36040496826172,47.54874038696289,179.8862464703462,591.9182786297456,1200.0,45000.0,52.3,8.2,9567.5,1218.665000509802
Sand Point,188,3.303370786516854,1.2576912646181881,-122.2674560546875,-122.254638671875,47.67353439331055,47.690372467041016,-122.26104736328125,47.68195343017578,149.48024629643376,493.78867877698343,,,,,0.0,286.5683478221787
Mount Baker,4924,2.7609378270881306,32.99230835327762,-122.29806518554688,-122.23896026611328,47.49544906616211,47.59123611450195,-122.26851272583008,47.54334259033203,149.24690771177353,412.06143307736676,11000.0,78000.0,55.8,12.4,447.6363636363636,619.8922858945548
Interbay,637,3.3523489932885906,10.55282942019403,-122.39828491210938,-122.35867309570312,47.6186408996582,47.66435623168945,-122.37847900390625,47.64149856567383,60.362958087906605,202.3577017779151,3500.0,72000.0,24.1,9.5,182.0,210.7636188501414
