cell_id,lat,lon,barrier_count,severity_mean,severity_max,temp_ratio,dominant_type,neighborhood,accessibility_score,risk_level
0_29,47.49717648824056,-122.26871744791667,6,4.333333333333333,5.0,0.0,NoSidewalk,Mount Baker,97.4,Medium
0_30,47.49800366771464,-122.26771903524593,49,4.755102040816326,5.0,0.02040816326530612,NoSidewalk,Mount Baker,76.7,Medium
10_11,47.54893908781164,-122.36139185288373,33,3.4242424242424243,4.0,0.0,NoSidewalk,Industrial District,88.7,Medium
10_12,47.5479031085968,-122.35659637451172,72,2.986111111111111,4.0,0.0,NoSidewalk,Industrial District,78.5,Medium
10_16,47.54954274495443,-122.3342022365994,8,2.5,5.0,0.0,CurbRamp,Industrial District,98.0,Low
10_20,47.54697608947754,-122.31595754623413,46,2.369565217391304,5.0,0.020833333333333332,CurbRamp,Industrial District,89.1,Medium
10_21,47.54614448547363,-122.31266403198242,8,2.625,5.0,0.125,NoSidewalk,Industrial District,97.9,Low
10_22,47.54726137433733,-122.30560411725726,26,4.269230769230769,5.0,0.14285714285714285,NoSidewalk,North Beacon Hill,88.9,Medium
10_23,47.547095525832404,-122.30051712762742,21,2.2857142857142856,5.0,0.0,CurbRamp,North Beacon Hill,95.2,Medium
10_24,47.54793567657471,-122.2953037261963,15,2.7333333333333334,5.0,0.15,NoSidewalk,North Beacon Hill,95.9,Low
10_26,47.54832967122396,-122.28483174641927,15,2.2666666666666666,5.0,0.0,CurbRamp,Mount Baker,96.6,Low
10_27,47.54828135172526,-122.28105341593424,26,2.269230769230769,5.0,0.0,CurbRamp,Mount Baker,94.1,Medium
10_28,47.54569339752197,-122.27561569213867,4,2.5,5.0,0.0,CurbRamp,Mount Baker,99.0,Low
10_29,47.547846044812886,-122.27021530696324,56,2.375,4.0,0.03571428571428571,NoSidewalk,Mount Baker,86.7,Medium
10_3,47.54656143188477,-122.39853439331054,9,3.0,3.0,0.0,NoSidewalk,Industrial District,97.3,Medium
10_30,47.54713649749756,-122.26532783508301,19,2.5789473684210527,5.0,0.15,NoCurbRamp,Mount Baker,95.1,Low
10_31,47.54814058191636,-122.26129763734107,48,2.7083333333333335,4.0,0.0392156862745098,NoCurbRamp,Mount Baker,87.0,Medium
10_4,47.54806384524784,-122.39634776759792,72,2.6944444444444446,3.0,0.0,NoSidewalk,Industrial District,80.6,Medium
10_5,47.5482661819458,-122.39061233520508,100,2.48,3.0,0.0,NoCurbRamp,Industrial District,75.2,Medium
10_6,47.54814884879372,-122.3857837156816,87,1.8850574712643677,3.0,0.0,CurbRamp,Industrial District,83.6,Medium
10_7,47.54845402653056,-122.38103714562897,133,2.2030075187969924,4.0,0.0,CurbRamp,Industrial District,70.7,Medium
10_8,47.54844303131104,-122.37740631103516,40,2.1,3.0,0.0,CurbRamp,Industrial District,91.6,Medium
11_11,47.55265858968099,-122.36295776367187,15,2.933333333333333,4.0,0.0,CurbRamp,Industrial District,95.6,Low
11_12,47.55283432006836,-122.35555483500163,55,3.272727272727273,4.0,0.0,NoSidewalk,Industrial District,82.0,High
11_16,47.55458135453482,-122.3355003235832,62,3.6774193548387095,5.0,0.0,NoSidewalk,Industrial District,77.2,High
11_17,47.55391936894705,-122.33142410368609,165,3.793939393939394,5.0,0.0,NoSidewalk,Industrial District,37.4,High
11_18,47.5546896899188,-122.32704416910808,53,3.9056603773584904,4.0,0.0,NoSidewalk,Industrial District,79.3,High
11_19,47.55347375308766,-122.32028422636144,17,3.176470588235294,4.0,0.0,NoSidewalk,Industrial District,94.6,Medium
11_22,47.55479137714092,-122.30559246356671,25,2.92,5.0,0.038461538461538464,Obstacle,North Beacon Hill,92.7,Medium
11_23,47.5552921295166,-122.30326461791992,2,1.5,2.0,0.0,CurbRamp,North Beacon Hill,99.7,Low
11_24,47.55345916748047,-122.29410552978516,1,1.0,1.0,0.0,NoCurbRamp,North Beacon Hill,99.9,Low
11_25,47.55335291420541,-122.28922383378192,36,2.3333333333333335,5.0,0.024390243902439025,CurbRamp,Mount Baker,91.6,Medium
11_26,47.55331566993227,-122.28533602775411,90,4.033333333333333,5.0,0.0,NoSidewalk,Mount Baker,63.7,High
11_27,47.55305269029405,-122.28124109903972,51,2.980392156862745,5.0,0.0,CurbRamp,Mount Baker,84.8,Medium
11_28,47.553451191295274,-122.27511721524326,54,2.8518518518518516,5.0,0.0,CurbRamp,Mount Baker,84.6,Medium
11_29,47.55322751691264,-122.2706930098995,61,2.1475409836065573,5.0,0.016129032258064516,CurbRamp,Mount Baker,86.9,Medium
11_3,47.55460166931152,-122.39902581108942,18,3.0,3.0,0.0,NoSidewalk,Industrial District,94.6,Medium
11_30,47.55311796400282,-122.26700991675968,57,2.789473684210526,5.0,0.09523809523809523,CurbRamp,Mount Baker,84.1,Medium
11_31,47.55326387617323,-122.26193067762587,30,2.6666666666666665,5.0,0.027777777777777776,CurbRamp,Mount Baker,92.0,Medium
11_32,47.55196762084961,-122.25416564941406,4,3.5,5.0,0.0,NoSidewalk,Mount Baker,98.6,Medium
11_4,47.55394977072011,-122.39579817177592,66,2.606060606060606,4.0,0.0,SurfaceProblem,Industrial District,82.8,Medium
11_5,47.55366054801054,-122.39124573108762,83,2.7349397590361444,4.0,0.0,NoCurbRamp,Industrial District,77.30000000000001,Medium
11_6,47.55296889595363,-122.38576043170431,46,1.891304347826087,3.0,0.0,CurbRamp,Industrial District,91.3,Medium
11_7,47.55270986203794,-122.38092620284469,54,2.0925925925925926,5.0,0.0,CurbRamp,Industrial District,88.7,Medium
11_8,47.55285145686223,-122.377196091872,38,2.4473684210526314,4.0,0.0,NoCurbRamp,Industrial District,90.7,Medium
12_10,47.557454517909456,-122.3655537196568,14,3.0714285714285716,5.0,0.0,CurbRamp,Industrial District,95.7,Medium
12_11,47.55724239349365,-122.35976839065552,11,3.0,3.0,0.0,NoSidewalk,Industrial District,96.7,Medium
12_12,47.55688532049005,-122.35583565451883,53,3.660377358490566,4.0,0.0,NoSidewalk,Industrial District,80.6,High
12_13,47.557826360066734,-122.35262298583984,5,4.0,4.0,0.0,NoSidewalk,Industrial District,98.0,Medium
12_14,47.56032943725586,-122.34376430511475,8,4.0,4.0,0.0,NoSidewalk,Industrial District,96.8,Medium
12_15,47.55894169908889,-122.33914541690908,45,3.577777777777778,4.0,0.0,NoSidewalk,Industrial District,83.9,Medium
12_16,47.55752679694938,-122.33634079143565,275,3.5490909090909093,4.0,0.0,NoSidewalk,Industrial District,2.4000000000000057,High
12_17,47.55758353700029,-122.33146326592627,234,3.675213675213675,4.0,0.0,NoSidewalk,Industrial District,14.0,High
12_18,47.55669250488281,-122.32705345153809,20,4.0,4.0,0.0,NoSidewalk,Industrial District,92.0,Medium
12_19,47.55926767985026,-122.32322099473741,9,2.6666666666666665,4.0,0.0,CurbRamp,Industrial District,97.6,Low
12_20,47.55835550481623,-122.31643861712831,30,1.8666666666666667,4.0,0.030303030303030304,CurbRamp,Industrial District,94.4,Medium
12_21,47.558311462402344,-122.31335194905598,3,3.0,3.0,0.0,CurbRamp,North Beacon Hill,99.1,Medium
12_22,47.556066255311706,-122.30714024724188,36,3.0,5.0,0.16216216216216217,SurfaceProblem,North Beacon Hill,89.2,Medium
12_23,47.556479930877686,-122.30230164527893,32,2.875,4.0,0.0,NoSidewalk,North Beacon Hill,90.8,Medium
12_24,47.557113060584435,-122.29624469463641,13,3.1538461538461537,4.0,0.0,NoSidewalk,North Beacon Hill,95.9,Medium
12_25,47.55805095727893,-122.29056925013445,66,2.196969696969697,5.0,0.0,CurbRamp,Mount Baker,85.5,Medium
12_26,47.556219312879776,-122.28573883904352,34,2.7058823529411766,5.0,0.0,CurbRamp,Mount Baker,90.8,Medium
12_27,47.557128016153975,-122.28116938273112,29,3.586206896551724,5.0,0.0,NoCurbRamp,Mount Baker,89.6,Medium
12_28,47.55761642456055,-122.27590789794922,4,4.75,5.0,0.0,NoCurbRamp,Mount Baker,98.1,Medium
12_29,47.55783271789551,-122.27079863775344,41,2.268292682926829,5.0,0.0,CurbRamp,Mount Baker,90.7,Medium
12_3,47.55833883285523,-122.40116100311279,40,2.925,4.0,0.0,SurfaceProblem,Industrial District,88.3,Medium
12_30,47.558266143798825,-122.26554077148438,25,2.76,5.0,0.0,NoSidewalk,Mount Baker,93.1,Medium
12_31,47.557053318730105,-122.26259358723958,26,3.0,3.0,0.0,NoSidewalk,Mount Baker,92.2,Medium
12_4,47.55709769020618,-122.39537155796104,67,2.253731343283582,4.0,0.0,CurbRamp,Industrial District,84.9,Medium
12_5,47.55695853122445,-122.39088297999183,77,2.5844155844155843,3.0,0.0,SurfaceProblem,Industrial District,80.1,Medium
12_6,47.557464084109746,-122.38615603060336,73,2.095890410958904,3.0,0.0,CurbRamp,Industrial District,84.7,Medium
12_7,47.557679271698,-122.38099126815796,80,2.1375,5.0,0.0,CurbRamp,Industrial District,82.9,Medium
12_8,47.556966945103234,-122.37714451381139,35,1.9428571428571428,3.0,0.0,CurbRamp,Industrial District,93.2,Medium
13_10,47.565423011779785,-122.36788749694824,4,1.25,2.0,0.0,NoSidewalk,Industrial District,99.5,Low
13_12,47.5608413696289,-122.35476684570312,5,5.0,5.0,0.0,NoSidewalk,Industrial District,97.5,Medium
13_14,47.56317011515299,-122.34375890096028,6,4.0,4.0,0.0,NoSidewalk,Industrial District,97.6,Medium
13_15,47.5623049106238,-122.34109468280144,104,3.798076923076923,4.0,0.009433962264150943,NoSidewalk,Industrial District,60.5,High
13_16,47.56185610453288,-122.33676518758138,147,3.3741496598639458,5.0,0.0,NoSidewalk,Industrial District,50.4,High
13_17,47.56292243625807,-122.329322649085,46,3.739130434782609,4.0,0.0,NoSidewalk,Industrial District,82.8,Medium
13_18,47.56302131796783,-122.32497780278044,104,3.6923076923076925,4.0,0.0,NoSidewalk,Industrial District,61.6,High
13_19,47.56339784102006,-122.32165971235796,54,3.5185185185185186,5.0,0.0,NoCurbRamp,Industrial District,81.0,High
13_2,47.56086222330729,-122.40377807617188,3,1.6666666666666667,3.0,0.0,CurbRamp,Industrial District,99.5,Low
13_20,47.562024964226616,-122.31648360358344,35,2.1142857142857143,5.0,0.0,SurfaceProblem,Industrial District,92.6,Medium
13_21,47.563027699788414,-122.31139089546951,51,2.392156862745098,4.0,0.0,SurfaceProblem,North Beacon Hill,87.8,Medium
13_22,47.56133629935128,-122.30604771205357,35,1.4857142857142858,3.0,0.0,SurfaceProblem,North Beacon Hill,94.8,Medium
13_23,47.56471772627397,-122.30136281793767,22,2.3181818181818183,4.0,0.0,SurfaceProblem,North Beacon Hill,94.9,Medium
13_24,47.563042147406215,-122.29683277524751,57,1.1228070175438596,3.0,0.0,CurbRamp,North Beacon Hill,93.6,Medium
13_25,47.562885746811375,-122.29180723248106,29,2.586206896551724,5.0,0.030303030303030304,CurbRamp,Mount Baker,92.5,Medium
13_26,47.56457281112671,-122.28686466217042,40,2.025,5.0,0.025,CurbRamp,Mount Baker,91.9,Medium
13_27,47.56469305630388,-122.28035644005085,58,2.4310344827586206,4.0,0.0,CurbRamp,Mount Baker,85.9,Medium
13_28,47.56098985671997,-122.2761926651001,7,3.142857142857143,4.0,0.0,NoCurbRamp,Mount Baker,97.8,Medium
13_29,47.56252983824847,-122.27092492090513,72,2.6805555555555554,5.0,0.0,NoCurbRamp,Mount Baker,80.7,Medium
13_3,47.565345764160156,-122.40291595458984,1,1.0,1.0,0.0,Obstacle,Industrial District,99.9,Low
13_30,47.5620493888855,-122.26814460754395,16,2.5,5.0,0.0,NoSidewalk,Mount Baker,96.0,Low
13_4,47.56272882314829,-122.39553152231069,59,2.694915254237288,4.0,0.015384615384615385,NoCurbRamp,Industrial District,84.1,Medium
13_6,47.56282380047966,-122.38578332639209,51,2.3529411764705883,5.0,0.0784313725490196,CurbRamp,Industrial District,88.0,Medium
13_7,47.56254226511175,-122.3805998021906,82,2.268292682926829,5.0,0.0,CurbRamp,Industrial District,81.4,Medium
13_8,47.56291224858532,-122.37692605632625,72,2.013888888888889,5.0,0.0,CurbRamp,Industrial District,85.5,Medium
13_9,47.5646858215332,-122.3727518717448,3,1.0,1.0,0.0,CurbRamp,Industrial District,99.7,Low
14_1,47.569485664367676,-122.40956211090088,8,3.0,5.0,0.0,CurbRamp,Industrial District,97.6,Medium
14_10,47.56718826293945,-122.3680248260498,20,2.8,5.0,0.05,CurbRamp,Industrial District,94.4,Medium
14_11,47.56799727219801,-122.36087505634015,9,2.3333333333333335,5.0,0.0,CurbRamp,Industrial District,97.9,Low
14_12,47.56831795828683,-122.3579078401838,54,2.7037037037037037,5.0,0.0,SurfaceProblem,Industrial District,85.4,Medium
14_14,47.56578699747721,-122.34392547607422,3,4.0,4.0,0.0,NoSidewalk,Industrial District,98.8,Medium
14_15,47.56782716574128,-122.33996841587971,95,3.9368421052631577,4.0,0.0,NoSidewalk,Industrial District,62.6,High
14_16,47.56757922288848,-122.33400261111376,40,3.675,4.0,0.0,SurfaceProblem,Industrial District,85.3,Medium
14_17,47.567717955284515,-122.33061627260189,96,3.3229166666666665,4.0,0.0,NoSidewalk,Industrial District,68.1,High
14_18,47.56740631537415,-122.32597593334614,210,3.842857142857143,5.0,0.0,NoSidewalk,Industrial District,19.299999999999997,High
14_19,47.5680081385263,-122.32204404084578,161,3.8074534161490683,4.0,0.0,NoSidewalk,Industrial District,38.7,High
14_2,47.568982442220054,-122.40664100646973,24,4.25,5.0,0.0,NoSidewalk,Industrial District,89.8,Medium
14_20,47.567921271690956,-122.31358865591196,13,1.7692307692307692,3.0,0.07692307692307693,CurbRamp,North Beacon Hill,97.7,Low
14_21,47.56689226305163,-122.31287899532833,37,2.6486486486486487,4.0,0.0,NoSidewalk,North Beacon Hill,90.2,Medium
14_22,47.56972312927246,-122.30758285522461,2,1.0,1.0,0.0,CurbRamp,North Beacon Hill,99.8,Low
14_23,47.56709342956543,-122.30056777954101,50,2.48,5.0,0.0,SurfaceProblem,North Beacon Hill,87.6,Medium
14_25,47.568274290665336,-122.29055786132812,44,3.409090909090909,5.0,0.0,NoSidewalk,Mount Baker,85.0,Medium
14_26,47.56798828479855,-122.28578798160997,168,2.5654761904761907,5.0,0.005813953488372093,SurfaceProblem,Mount Baker,56.89999999999999,Medium
14_27,47.567491936871384,-122.28134017103301,127,2.9291338582677167,5.0,0.0,NoSidewalk,Mount Baker,62.8,Medium
14_29,47.56670480025442,-122.26955895674855,18,2.7777777777777777,3.0,0.0,NoSidewalk,Mount Baker,95.0,Low
14_3,47.56637239456177,-122.40279769897461,14,1.4285714285714286,3.0,0.0,CurbRamp,Industrial District,98.0,Low
14_30,47.565941619873044,-122.26818542480468,5,3.0,3.0,0.0,NoSidewalk,Mount Baker,98.5,Medium
14_4,47.56881436434659,-122.39496265758167,7,1.8571428571428572,4.0,0.0,CurbRamp,Industrial District,98.7,Low
14_5,47.570235532872815,-122.39074617273667,16,4.5625,5.0,0.0,NoCurbRamp,Industrial District,92.7,Medium
14_6,47.567576217651364,-122.38541984558105,20,2.2,5.0,0.0,CurbRamp,Industrial District,95.6,Medium
14_7,47.566519260406494,-122.37978839874268,8,3.5,5.0,0.0,NoCurbRamp,Industrial District,97.2,Medium
14_8,47.56649875640869,-122.3775691986084,4,3.0,3.0,0.0,NoCurbRamp,Industrial District,98.8,Medium
14_9,47.56879066698479,-122.37143244887844,33,2.5454545454545454,5.0,0.0,CurbRamp,Industrial District,91.6,Medium
15_0,47.57366648027974,-122.41431402391002,31,3.5806451612903225,5.0,0.0,NoSidewalk,Industrial District,88.9,Medium
15_1,47.574059295654294,-122.4133056640625,5,2.8,4.0,0.0,Obstacle,Industrial District,98.6,Low
15_10,47.57164083208357,-122.36739730834961,13,4.153846153846154,5.0,0.0,Obstacle,Industrial District,94.6,Medium
15_11,47.571846114264595,-122.36088053385417,34,2.2941176470588234,5.0,0.0,CurbRamp,Industrial District,92.2,Medium
