time_bin,properties/neighborhood,barrier_count,severity_mean,severity_max,severity_std,temp_ratio,prop_CurbRamp,prop_NoSidewalk,prop_NoCurbRamp,prop_SurfaceProblem,prop_Obstacle,prop_Occlusion,prop_Other,weighted_impact,accessibility_score,barrier_count_lag1,barrier_count_lag2,barrier_count_lag3,barrier_count_roll3,barrier_count_roll5,severity_mean_lag1,severity_mean_lag2,severity_mean_lag3,severity_mean_roll3,severity_mean_roll5,accessibility_score_lag1,accessibility_score_lag2,accessibility_score_lag3,accessibility_score_roll3,accessibility_score_roll5,temp_ratio_lag1,temp_ratio_lag2,temp_ratio_lag3,temp_ratio_roll3,temp_ratio_roll5,time_position,time_sin,time_cos,barriers_per_km2,area_km2,population,median_income,pct_minority,pct_elderly,equity_concern_score,barriers_per_km2_norm,area_km2_norm,population_norm,median_income_norm,pct_minority_norm,pct_elderly_norm,equity_concern_score_norm
136,Adams,8.0,2.0,3.0,0.5345224838248488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-20.0,351.62311557788945,345.92763157894734,346.39285714285717,8.0,8.0,2.605501029054099,2.5432030294325,2.5560460313609203,2.0,2.0,44.08319514118346,39.08401388259955,38.59504213350835,-20.0,-20.0,0.00680095331825695,0.004516931374460902,0.002911111733831185,0.0,0.0,0.6834170854271356,-0.9137593681374364,-0.4062558518237897,581.3012601564984,1.7839286976959554,,,,,1114.4117422689346,0.060140952913111716,-0.31855252393581973,0.0,0.0,0.0,0.0,-0.2465487256283477
137,Adams,410.0,1.7902439024390244,4.0,0.8390834672787496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-734.0,-17.902439024390244,8.0,345.92763157894734,346.39285714285717,209.0,209.0,2.0,2.5432030294325,2.5560460313609203,1.895121951219512,1.895121951219512,-20.0,39.08401388259955,38.59504213350835,-18.951219512195124,-18.951219512195124,0.0,0.004516931374460902,0.002911111733831185,0.0,0.0,0.6884422110552764,-0.9261288486078411,-0.37720731140357633,581.3012601564984,1.7839286976959554,,,,,1114.4117422689346,0.060140952913111716,-0.31855252393581973,0.0,0.0,0.0,0.0,-0.2465487256283477
138,Adams,410.0,3.0951219512195123,5.0,1.0197202788972217,0.01951219512195122,0.16585365853658537,0.11951219512195121,0.1,0.4951219512195122,0.11951219512195121,0.0,0.0,2532.0,61.75609756097561,410.0,8.0,346.39285714285717,276.0,276.0,1.7902439024390244,2.0,2.5560460313609203,2.2951219512195125,2.2951219512195125,-17.902439024390244,-20.0,38.59504213350835,7.951219512195124,7.951219512195124,0.0,0.0,0.002911111733831185,0.0065040650406504065,0.0065040650406504065,0.6934673366834171,-0.9375751437008251,-0.3477827625319824,581.3012601564984,1.7839286976959554,,,,,1114.4117422689346,0.060140952913111716,-0.31855252393581973,0.0,0.0,0.0,0.0,-0.2465487256283477
139,Adams,209.0,3.1435406698564594,5.0,0.4887866644928926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1971.0,94.30622009569377,410.0,410.0,8.0,343.0,259.25,3.0951219512195123,1.7902439024390244,2.0,2.6763021745049986,2.507226630878749,61.75609756097561,-17.902439024390244,-20.0,46.05329287742638,29.539969658069786,0.01951219512195122,0.0,0.0,0.0065040650406504065,0.004878048780487805,0.6984924623115578,-0.9480868435005096,-0.3180115362392379,581.3012601564984,1.7839286976959554,,,,,1114.4117422689346,0.060140952913111716,-0.31855252393581973,0.0,0.0,0.0,0.0,-0.2465487256283477
79,Atlantic,166.0,1.7409638554216869,3.0,0.6221246381170885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-289.0,-17.40963855421687,351.62311557788945,345.92763157894734,346.39285714285717,166.0,166.0,2.605501029054099,2.5432030294325,2.5560460313609203,1.7409638554216869,1.7409638554216869,44.08319514118346,39.08401388259955,38.59504213350835,-17.40963855421687,-17.40963855421687,0.00680095331825695,0.004516931374460902,0.002911111733831185,0.0,0.0,0.3969849246231156,0.6030051071796145,-0.7977373256375193,383.1455872491527,3.0406196463445667,8500.0,65000.0,45.2,12.1,1774.9839435713595,-0.6331601924064879,-0.19291331184294228,-0.2656943180501031,-1.0224632408982368,1.5505883628502481,0.22106366017394874,0.46909338246817717
80,Atlantic,410.0,1.7560975609756098,4.0,0.6808770341925612,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-720.0,-17.5609756097561,166.0,345.92763157894734,346.39285714285717,288.0,288.0,1.7409638554216869,2.5432030294325,2.5560460313609203,1.7485307081986483,1.7485307081986483,-17.40963855421687,39.08401388259955,38.59504213350835,-17.485307081986484,-17.485307081986484,0.0,0.004516931374460902,0.002911111733831185,0.0,0.0,0.4020100502512563,0.5775211524135886,-0.8163757214143991,383.1455872491527,3.0406196463445667,8500.0,65000.0,45.2,12.1,1774.9839435713595,-0.6331601924064879,-0.19291331184294228,-0.2656943180501031,-1.0224632408982368,1.5505883628502481,0.22106366017394874,0.46909338246817717
81,Atlantic,410.0,3.0609756097560976,5.0,1.133481998951218,0.007317073170731708,0.21707317073170732,0.1926829268292683,0.07317073170731707,0.4170731707317073,0.08292682926829269,0.01707317073170732,0.0,2534.5,61.8170731707317,410.0,166.0,346.39285714285717,328.6666666666667,328.6666666666667,1.7560975609756098,1.7409638554216869,2.5560460313609203,2.1860123420511317,2.1860123420511317,-17.5609756097561,-17.40963855421687,38.59504213350835,8.948819668919578,8.948819668919578,0.0,0.0,0.002911111733831185,0.0024390243902439024,0.0024390243902439024,0.40703517587939697,0.5514615120031076,-0.8342003361179174,383.1455872491527,3.0406196463445667,8500.0,65000.0,45.2,12.1,1774.9839435713595,-0.6331601924064879,-0.19291331184294228,-0.2656943180501031,-1.0224632408982368,1.5505883628502481,0.22106366017394874,0.46909338246817717
82,Atlantic,179.0,2.804469273743017,5.0,0.7575701272133814,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1506.0,84.1340782122905,410.0,410.0,166.0,333.0,291.25,3.0609756097560976,1.7560975609756098,1.7409638554216869,2.540514148158241,2.340626574974103,61.8170731707317,-17.5609756097561,-17.40963855421687,42.79672525775536,27.74513430476231,0.007317073170731708,0.0,0.0,0.0024390243902439024,0.001829268292682927,0.4120603015075377,0.5248521627644684,-0.8511934017844945,383.1455872491527,3.0406196463445667,8500.0,65000.0,45.2,12.1,1774.9839435713595,-0.6331601924064879,-0.19291331184294228,-0.2656943180501031,-1.0224632408982368,1.5505883628502481,0.22106366017394874,0.46909338246817717
134,Belltown,256.0,1.21875,5.0,0.5730893233598229,0.01171875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-312.0,-12.1875,351.62311557788945,345.92763157894734,346.39285714285717,256.0,256.0,2.605501029054099,2.5432030294325,2.5560460313609203,1.21875,1.21875,44.08319514118346,39.08401388259955,38.59504213350835,-12.1875,-12.1875,0.00680095331825695,0.004516931374460902,0.002911111733831185,0.01171875,0.01171875,0.6733668341708543,-0.8863010796932088,-0.4631094861203475,793.4165292435955,1.3448169538605723,12000.0,82000.0,22.3,5.4,2307.417530396417,0.802283516081728,-0.3624532567098832,0.2764174071193898,-0.5396333771407361,-0.24346587586144583,-1.5784358539523053,1.0459143473008061
135,Belltown,409.0,1.3398533007334963,5.0,0.671113340413883,0.0024449877750611247,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-548.0,-13.398533007334963,256.0,345.92763157894734,346.39285714285717,332.5,332.5,1.21875,2.5432030294325,2.5560460313609203,1.2793016503667483,1.2793016503667483,-12.1875,39.08401388259955,38.59504213350835,-12.79301650366748,-12.79301650366748,0.01171875,0.004516931374460902,0.002911111733831185,0.007081868887530563,0.007081868887530563,0.678391959798995,-0.9004790324567515,-0.4348994275757932,793.4165292435955,1.3448169538605723,12000.0,82000.0,22.3,5.4,2307.417530396417,0.802283516081728,-0.3624532567098832,0.2764174071193898,-0.5396333771407361,-0.24346587586144583,-1.5784358539523053,1.0459143473008061
